Stadtname,st_wbev_2011,st_wbev_2001,proz_ver-2001–2011,bevdichte,st_wbev_1930,st_wbev_1970,st_wbev_1980,st_wbev_1990,st_wbev_2000
"Neuveville, La",3552,3360,5.7,5,2535,3917,3519,3324,3445
Nidau,6810,6822,-0.2,45,2561,7964,7932,7453,6798
Payerne,8996,7299,23.2,4,4951,6899,6713,7393,7294
Peseux,5700,5503,3.6,17,2694,5578,5212,5139,5387
Rorschach,8840,8630,2.4,50,11005,11963,9878,9535,8647
St. Moritz,5206,4994,4.2,2,3968,5699,5900,5426,5589
Stans,8064,7199,12,7,2916,5180,5681,6217,6983
Sursee,8998,8125,10.7,15,3465,7052,7645,8143,8059
Zuchwil,8783,8930,-1.6,19,2795,8637,8223,9063,8922
Schweiz,7954662,7255653,9.6,NA,4066400,6269783,6365960,6873687,7288010
