year,quarter,quarter_no,N,income_mean,income_median,income_gini,wealth_mean,wealth_median,wealth_gini
2007,Kleinhüningen,19,1476,45914,42524,0.377,54963,1546,0.866
2007,Riehen,20,11458,87608,63972,0.495,608334,44334,0.878
2007,Bettingen,30,614,98079,65381,0.558,618129,59334,0.843
2008,Altstadt Grossbasel,1,1558,98148,50594,0.649,799849,30057,0.925
2008,Vorstädte,2,2976,89995,49940,0.605,830373,25786,0.937
2008,Am Ring,3,6169,66851,49103,0.507,345912,23475,0.87
2008,Breite,4,5257,51944,45378,0.389,114075,10929,0.834
2008,St. Alban,5,6160,95873,58787,0.559,707868,45604,0.889
2008,Gundeldingen,6,11082,50975,44476,0.412,95313,5448,0.862
2008,Bruderholz,7,4887,128754,62238,0.659,2272007,55614,0.96
2008,Bachletten,8,7922,73028,56364,0.467,323943,32293,0.844
2008,Gotthelf,9,4091,67772,48255,0.504,679150,19781,0.955
2008,Iselin,10,9299,50034,44547,0.39,99426,8147,0.834
2008,St. Johann,11,9998,47765,40990,0.441,106492,3317,0.877
2008,Altstadt Kleinbasel,12,1518,53144,39555,0.489,219244,5398,0.919
2008,Clara,13,2414,47008,38445,0.449,91442,4342,0.863
2008,Wettstein,14,3279,66074,50996,0.471,292388,18102,0.894
2008,Hirzbrunnen,15,5072,56528,49274,0.399,152920,16363,0.829
2008,Rosental,16,2554,43251,38897,0.41,48532,363,0.881
2008,Matthäus,17,8917,47801,38748,0.475,90644,1483,0.89
2008,Klybeck,18,4004,42861,39482,0.398,49418,398,0.874
2008,Kleinhüningen,19,1451,43807,40363,0.39,58287,1392,0.867
2008,Riehen,20,11532,84537,61565,0.498,490860,44825,0.853
2008,Bettingen,30,623,89572,61423,0.558,555614,51731,0.836
2009,Altstadt Grossbasel,1,1549,98185,53465,0.638,1011185,32310,0.934
2009,Vorstädte,2,2939,87831,51458,0.594,905328,28096,0.938
2009,Am Ring,3,6183,68103,51106,0.497,394083,25007,0.875
2009,Breite,4,5210,53351,46336,0.397,118098,11336,0.83
2009,St. Alban,5,6159,92738,59374,0.54,761393,46314,0.891
2009,Gundeldingen,6,11168,52256,45181,0.416,105618,5998,0.865
2009,Bruderholz,7,4941,129371,62816,0.661,2345079,52062,0.961
2009,Bachletten,8,7897,73487,57107,0.462,347055,33263,0.848
2009,Gotthelf,9,4142,68381,49065,0.499,734089,20288,0.955
2009,Iselin,10,9272,50710,45142,0.393,104990,8074,0.836
2009,St. Johann,11,10112,47891,41207,0.444,110789,3556,0.879
2009,Altstadt Kleinbasel,12,1540,54276,42082,0.472,232753,5583,0.919
2009,Clara,13,2449,47524,39043,0.45,96201,3835,0.866
2009,Wettstein,14,3303,65748,52045,0.458,284055,19595,0.886
2009,Hirzbrunnen,15,5126,56245,49966,0.392,164208,16035,0.835
2009,Rosental,16,2638,44779,40028,0.419,54992,670,0.891
2009,Matthäus,17,8880,46950,38204,0.474,99566,1441,0.894
2009,Klybeck,18,4070,42727,39440,0.401,52694,567,0.875
2009,Kleinhüningen,19,1470,43199,40213,0.391,56278,1540,0.86
2009,Riehen,20,11521,85432,61605,0.507,559401,45152,0.865
2009,Bettingen,30,627,89704,60288,0.554,792733,54771,0.884
2010,Altstadt Grossbasel,1,1596,94993,53562,0.626,949972,29809,0.933
2010,Vorstädte,2,3010,87980,50664,0.589,996005,27786,0.944
2010,Am Ring,3,6241,69512,51366,0.504,389314,27192,0.87
2010,Breite,4,5294,53301,46385,0.393,113890,11518,0.822
2010,St. Alban,5,6280,92870,60370,0.534,749056,50110,0.889
2010,Gundeldingen,6,11323,52578,45323,0.416,104176,6626,0.858
2010,Bruderholz,7,5028,136880,62431,0.681,1977704,51374,0.954
2010,Bachletten,8,7889,75189,57511,0.469,372023,34905,0.855
